starelid,staop1,staop2,staop3,staop4,staop5,stakind1,stakind2,stakind3,stakind4,stakind5,stawidth,staattnum,stainherit,stavalues1,stavalues2,stavalues3,stavalues4,stavalues5,stadistinct,stanullfrac,stanumbers1,stanumbers2,stanumbers3,stanumbers4,stanumbers5
1247,607,609,609,0,0,1,2,3,0,0,4,17,false,"{record_send,array_send,-,range_send,varcharsend,int4send,textsend,timestamptz_send}","{pg_ddl_command_send,pg_node_tree_send,json_send,int2send,int8send,int2vectorsend,byteasend,unknownsend,oidsend,oidvectorsend,namesend,float4send,float8send,point_send,bpcharsend,charsend,boolsend,tidsend,xidsend,cidsend,regprocsend,regproceduresend,regopersend,regoperatorsend,regclasssend,regtypesend,bit_send,varbit_send,numeric_send,abstimesend,reltimesend,tintervalsend,date_send,time_send,timetz_send,timestamp_send,interval_send,lseg_send,path_send,box_send,poly_send,line_send,circle_send,cash_send,macaddr_send,inet_send,cidr_send,cstring_send,anyarray_send,xml_send,txid_snapshot_send,uuid_send,void_send,pg_lsn_send,pg_ndistinct_send,pg_dependencies_send,macaddr8_send,tsvectorsend,tsquerysend,regconfigsend,regdictionarysend,jsonb_send,regnamespacesend,regrolesend}",NULL,NULL,NULL,-0.189474,0,"{0.547368,0.2,0.0421053,0.0157895,0.0105263,0.00526316,0.00526316,0.00526316}",NULL,{0.220079},NULL,NULL
1247,607,609,0,0,0,1,3,0,0,0,4,18,false,"{-,varbittypmodin,intervaltypmodin,timestamptypmodin,timestamptztypmodin,timetypmodin,timetztypmodin,bpchartypmodin,varchartypmodin,numerictypmodin,bittypmodin}",NULL,NULL,NULL,NULL,11,0,"{0.947368,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316}",{0.816864},NULL,NULL,NULL
1247,607,609,0,0,0,1,3,0,0,0,4,19,false,"{-,intervaltypmodout,timestamptypmodout,timestamptztypmodout,timetypmodout,timetztypmodout,bpchartypmodout,varchartypmodout,numerictypmodout,bittypmodout,varbittypmodout}",NULL,NULL,NULL,NULL,11,0,"{0.947368,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316,0.00526316}",{0.816954},NULL,NULL,NULL
1247,607,609,0,0,0,1,3,0,0,0,4,20,false,"{-,array_typanalyze,range_typanalyze}",NULL,NULL,NULL,NULL,4,0,"{0.781579,0.2,0.0157895}",{0.326425},NULL,NULL,NULL
1247,92,631,0,0,0,1,3,0,0,0,1,21,false,"{d,i,c,s}",NULL,NULL,NULL,NULL,4,0,"{0.671053,0.305263,0.0157895,0.00789474}",{0.0243914},NULL,NULL,NULL
1247,92,631,0,0,0,1,3,0,0,0,1,22,false,"{x,p,m}",NULL,NULL,NULL,NULL,3,0,"{0.821053,0.171053,0.00789474}",{0.948358},NULL,NULL,NULL
1247,91,58,0,0,0,1,3,0,0,0,1,23,false,{f},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1247,607,609,609,0,0,1,2,3,0,0,4,24,false,"{0,1043}","{23,1184}",NULL,NULL,NULL,4,0,"{0.986842,0.00789474}",NULL,{0.996583},NULL,NULL
1247,96,97,97,0,0,1,2,3,0,0,4,25,false,{-1},"{2,7}",NULL,NULL,NULL,3,0,{0.994737},NULL,{0.998754},NULL,NULL
1247,96,97,0,0,0,1,3,0,0,0,4,26,false,{0},NULL,NULL,NULL,NULL,1,0,{1},{1},NULL,NULL,NULL
1247,607,609,0,0,0,1,3,0,0,0,4,27,false,"{0,100}",NULL,NULL,NULL,NULL,2,0,"{0.960526,0.0394737}",{0.890432},NULL,NULL,NULL
1247,0,0,0,0,0,0,0,0,0,0,60,28,false,NULL,NULL,NULL,NULL,NULL,-0.0026316,0.997368,NULL,NULL,NULL,NULL,NULL
1247,0,0,0,0,0,0,0,0,0,0,21,29,false,NULL,NULL,NULL,NULL,NULL,-0.0026316,0.997368,NULL,NULL,NULL,NULL,NULL
1247,0,0,0,0,0,0,0,0,0,0,0,30,false,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL
