amproc,amprocnum,amprocfamily,amproclefttype,amprocrighttype
timestamp_hash_extended,2,1999,1184,1184
timestamp_hash_extended,2,2040,1114,1114
uuid_hash_extended,2,2969,2950,2950
pg_lsn_hash_extended,2,3254,3220,3220
hashenumextended,2,3523,3500,3500
jsonb_hash_extended,2,4034,3802,3802
hash_range_extended,2,3903,3831,3831
interval_hash_extended,2,1983,1186,1186
spg_range_quad_config,1,3474,3831,3831
spg_range_quad_choose,2,3474,3831,3831
spg_range_quad_picksplit,3,3474,3831,3831
spg_range_quad_inner_consistent,4,3474,3831,3831
spg_range_quad_leaf_consistent,5,3474,3831,3831
gin_compare_jsonb,1,4036,3802,3802
gin_extract_jsonb,2,4036,3802,3802
gin_extract_jsonb_query,3,4036,3802,3802
gin_consistent_jsonb,4,4036,3802,3802
gin_extract_jsonb_path,2,4037,3802,3802
gin_extract_jsonb_query_path,3,4037,3802,3802
gin_consistent_jsonb_path,4,4037,3802,3802
gin_triconsistent_jsonb,6,4036,3802,3802
gin_triconsistent_jsonb_path,6,4037,3802,3802
enum_cmp,1,3522,3500,3500
hashenum,1,3523,3500,3500
inet_gist_consistent,1,3550,869,869
inet_gist_union,2,3550,869,869
inet_gist_compress,3,3550,869,869
inet_gist_penalty,5,3550,869,869
inet_gist_picksplit,6,3550,869,869
inet_gist_same,7,3550,869,869
inet_gist_fetch,9,3550,869,869
tsvector_cmp,1,3626,3614,3614
gtsvector_compress,3,3655,3614,3614
gtsvector_decompress,4,3655,3614,3614
gtsvector_picksplit,6,3655,3614,3614
gtsvector_union,2,3655,3614,3614
gtsvector_same,7,3655,3614,3614
gtsvector_penalty,5,3655,3614,3614
pg_catalog.gtsvector_consistent,1,3655,3614,3614
pg_catalog.gin_extract_tsvector,2,3659,3614,3614
pg_catalog.gin_extract_tsquery,3,3659,3614,3614
pg_catalog.gin_tsquery_consistent,4,3659,3614,3614
tsquery_cmp,1,3683,3615,3615
gtsquery_compress,3,3702,3615,3615
gtsquery_picksplit,6,3702,3615,3615
gtsquery_union,2,3702,3615,3615
gtsquery_same,7,3702,3615,3615
gtsquery_penalty,5,3702,3615,3615
pg_catalog.gtsquery_consistent,1,3702,3615,3615
gin_cmp_tslexeme,1,3659,3614,3614
inet_spg_config,1,3794,869,869
inet_spg_choose,2,3794,869,869
inet_spg_picksplit,3,3794,869,869
inet_spg_inner_consistent,4,3794,869,869
inet_spg_leaf_consistent,5,3794,869,869
isempty,14,4103,3831,3831
range_contains,13,4103,3831,3831
range_cmp,1,3901,3831,3831
range_gist_consistent,1,3919,3831,3831
range_gist_union,2,3919,3831,3831
range_gist_penalty,5,3919,3831,3831
range_gist_picksplit,6,3919,3831,3831
range_gist_same,7,3919,3831,3831
hash_range,1,3903,3831,3831
ginarraytriconsistent,6,2745,2277,2277
gin_tsquery_triconsistent,6,3659,3614,3614
spg_quad_config,1,4015,600,600
spg_quad_choose,2,4015,600,600
spg_quad_picksplit,3,4015,600,600
spg_quad_inner_consistent,4,4015,600,600
spg_quad_leaf_consistent,5,4016,600,600
spg_quad_leaf_consistent,5,4015,600,600
spg_kd_config,1,4016,600,600
spg_kd_choose,2,4016,600,600
spg_kd_picksplit,3,4016,600,600
spg_kd_inner_consistent,4,4016,600,600
spg_text_config,1,4017,25,25
spg_text_choose,2,4017,25,25
spg_text_picksplit,3,4017,25,25
